Data,Inf,Unemp,FYFF
1997.25,1.890139,5,5.523333
1997.5,1.176818,4.866667,5.533333
1997.75,1.446656,4.666667,5.506667
1998,0.974517,4.666667,5.52
1998.25,1.127473,4.433333,5.5
1998.5,1.472584,4.5,5.533333
1998.75,1.120178,4.433333,4.86
1999,2.269346,4.3,4.733333
1999.25,1.378388,4.3,4.746667
1999.5,0.916293,4.233333,5.093333
1999.75,1.33251,4.1,5.306667
2000,3.255436,4.033333,5.676667
2000.25,2.368094,4.033333,6.273333
2000.5,1.570976,4,6.52
2000.75,2.047945,3.966667,6.473333
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
